country_iso,country,aged_population_pct,gdp_per_capita_usd,demographic_pressure_score
DE,Germany,22.4,48717,70.0
US,United States,17.1,76330,46.2
GB,United Kingdom,18.7,45295,53.4
IN,India,6.8,2389,0.0
FR,France,20.8,43658,62.8
JP,Japan,29.1,33815,100.0
BR,Brazil,10.2,8917,15.2
