,Gold,Oil,Wheat,Copper,VIX_score,fear_composite,stress_index,regime,regime_label
2014-01-01,4.921171829608063,90.48549921338324,28.524350054924938,25.930493932167344,20.21348962011187,2.7667073735366263,23.905832370563548,0,Elevated stress
2014-02-01,7.146375795222831,96.35296165900178,34.859025997803,26.334084173620674,10.197591871671264,3.422840794647005,22.43061558542003,0,Elevated stress
2014-03-01,6.106305685644877,95.19097997033819,49.24935920908092,22.029148326657157,9.925050686825273,3.633502817736565,21.588713875827143,0,Elevated stress
2014-04-01,6.440221594912714,93.07408636093464,51.556206517759065,21.647983329089733,8.857596088371537,4.684454851643265,21.242348145453988,0,Elevated stress
2014-05-01,5.071708292836455,96.49102280010095,38.99670450384474,24.03587354771154,4.2925263687803685,2.573781743308167,19.82278577981474,0,Elevated stress
2014-06-01,5.071708292836455,96.49102280010095,38.99670450384474,24.03587354771154,4.678626922136733,0.6451612903225806,19.456460832575253,0,Elevated stress
2014-07-01,6.048828795177059,91.26782812463176,24.789454412303186,25.986549023320485,16.897570788169897,0.8556394417753372,22.78177597695703,0,Elevated stress
2014-08-01,6.171994992363921,88.72526135744673,27.71878432808495,24.013453649533368,5.859640889100827,0.6428734843285288,18.86314420485551,0,Elevated stress
2014-09-01,4.1110126229983095,83.20294737583109,17.09996338337605,21.109868352859685,15.44401347039501,1.500800732097918,20.422035690403273,0,Elevated stress
2014-10-01,3.032623472742827,70.98481287949201,25.119004027828638,22.35426357877919,10.265726626391562,3.815371601449274,17.523233872630072,0,Elevated stress
2014-11-01,3.1448408952936973,54.42936066912912,31.673379714390336,17.847532611089015,8.67590196514088,2.7601269831001267,13.870927875854305,2,Calm market
2014-12-01,3.382964214513123,39.611136124519575,33.50421091175393,17.365472726012122,22.007722877453045,3.1836541195453476,15.753040927304022,2,Calm market
2015-01-01,5.972190713822016,33.82420715016973,20.76162577810325,10.403591845165636,26.027705895422617,3.2013905124064492,15.917087796534823,2,Calm market
2015-02-01,5.972190713822016,33.82420715016973,20.76162577810325,10.403591845165636,8.698614272035908,3.6267385556632634,10.824697320333016,2,Calm market
2015-03-01,5.972190713822016,33.82420715016973,20.76162577810325,10.403591845165636,13.127412316221676,4.2609277151980445,12.311884023472441,2,Calm market
2015-04-01,3.341908815450836,46.92820983046409,15.525448553643358,18.441702678472204,11.44674059335566,3.6267385556632634,13.892490322429515,2,Calm market
2015-05-01,3.5335006777415146,47.69903145224844,16.990113511534233,15.594172472951655,9.834203625209941,3.207787031206145,13.173179946045252,2,Calm market
2015-06-01,3.043572247378826,46.74413269774356,37.165873306481146,12.544847146704448,19.804676759860474,1.4876399512249194,15.188132084572116,2,Calm market
2015-07-01,0.947010536817384,32.53566283238105,20.248993042841448,6.8049362478915825,5.927775643821125,4.270262810811055,8.596143552858893,2,Calm market
2015-08-01,1.951497964102586,34.92866994649285,17.79567923837422,6.143501140266196,42.97070129738259,13.67055102719505,22.552798344834606,2,Calm market
2015-09-01,1.5108373490534177,30.200183388099745,22.22629073599414,6.311661068017862,34.04496828832595,4.904084227072229,16.90287262809327,2,Calm market
2015-10-01,2.22246426613307,31.925908153134017,23.581105822043213,5.594170869239335,12.62775239435496,2.5714939373141155,10.223995365755666,2,Calm market
2015-11-01,2.22246426613307,31.925908153134017,23.581105822043213,5.594170869239335,15.035200610143622,2.5539414160898177,10.94184170018619,2,Calm market
2015-12-01,0.0,20.93879469349816,15.964848041010612,1.3789253064039357,19.759252146070413,2.76031085473693,9.896565092170473,2,Calm market
2016-01-01,1.5354712567101743,17.00413994707261,17.319663127059684,0.0,24.27890158380111,10.191746348788225,12.689322305740314,2,Calm market
2016-02-01,4.751477516589382,17.153703988890854,12.30318564628341,1.446190346646155,25.073810665479254,5.7530441225022155,12.628374366585449,2,Calm market
2016-03-01,4.75968659174368,22.43442194544553,16.47748077627243,2.6345304814125186,10.084032503160898,3.8485565811774256,8.567902554549443,2,Calm market
2016-04-01,6.265051224027566,31.155082142604627,17.136580007323317,4.8206309250153865,14.058595239270016,4.052454342193683,11.639027816027172,2,Calm market
2016-05-01,6.265051224027566,31.155082142604627,17.136580007323317,4.8206309250153865,10.629114872852885,3.194527094424295,10.395701894159684,2,Calm market
2016-06-01,7.064264997098256,33.927750811621586,10.28927132918345,2.9260105405595667,13.899613422934383,4.2479508059618505,12.026488403589623,2,Calm market
2016-07-01,7.9017944697495395,26.18499517040552,6.847308678139875,3.5089706588536558,5.359980967234108,1.2593262510022085,7.781831088316886,2,Calm market
2016-08-01,6.7495069376207155,29.751495651390037,0.0,0.12332013139536002,8.880308395266564,0.8403747265450907,8.699143948588427,2,Calm market
2016-09-01,6.9246773085058635,33.82420715016973,6.00512632735262,3.094170468311269,8.585054903525545,2.3365998466549054,9.927650013779148,2,Calm market
2016-10-01,5.7805988515313445,32.236539137489586,8.092273892347123,3.060540621044005,17.147397500156057,3.383160140210306,12.287663988133502,2,Calm market
2016-11-01,3.0244143975885294,35.20478345120111,2.856096667887222,12.500002004640393,8.67590196514088,10.648359309052747,12.400461014467364,2,Calm market
2016-12-01,2.455111527486036,40.12885443177886,6.88392530208715,9.71973149365435,10.288438933286592,3.7955312742309246,11.517738118173181,2,Calm market
2017-01-01,2.455111527486036,40.12885443177886,6.88392530208715,9.71973149365435,5.632522152080099,4.039293561320685,10.181903655583673,2,Calm market
2017-02-01,5.2633001551271335,40.4624912175726,9.337239106554378,14.349777247032158,7.744719042092534,4.473693672644853,11.998850569153507,2,Calm market
2017-03-01,5.118239749765202,36.539343760611146,9.59355547418528,13.060542224756325,6.495570320408142,5.752860250865411,11.197489895359139,2,Calm market
2017-04-01,5.632798746687719,35.0782339883111,8.421823507872574,11.939461784524468,2.9752428923756824,4.477802385450497,9.594264490111984,2,Calm market
2017-05-01,5.794283984552102,33.91624352215747,9.996338337605273,11.502241695803903,2.044059969327339,3.8417923191041226,8.970183565388664,2,Calm market
2017-06-01,4.937593321013594,31.29314328370379,21.96997436836324,14.237667064725883,3.7928686128784506,2.3321233905756538,8.826148294738324,2,Calm market
2017-07-01,5.646483879708484,36.04463564353506,16.623947272061514,18.475337871447174,1.7033840297610503,1.0641128147796983,9.160569322239912,2,Calm market
2017-08-01,7.004048407148744,32.6622166840161,7.213474917612594,22.757848474524785,2.4528728295787268,2.3323072622124577,9.894865695911374,2,Calm market
2017-09-01,6.054301511946591,37.77036040856933,12.779201757597946,19.585203016882225,0.0,2.7644195675425745,9.526039557248584,2,Calm market
2017-10-01,6.054301511946591,37.77036040856933,12.779201757597946,19.585203016882225,1.5216899065303835,3.8308201883163244,10.249146684401136,2,Calm market
2017-11-01,5.827126967363164,44.36263287309587,7.067008421823509,21.81614325684142,4.019985183934381,4.686459630091661,12.379045112824384,2,Calm market
2017-12-01,6.733085446215185,47.83708820460259,9.666788722079822,27.25336414741816,3.474902814242398,4.8860648066654715,13.511503780614328,2,Calm market
2018-01-01,7.628091809334286,52.79567666482763,13.291834492859763,25.11210884587934,9.152849580112562,6.163226606437634,16.242842271822113,2,Calm market
2018-02-01,6.984890557358447,49.240679084562196,18.088612229952403,23.396863683972022,23.483988170193367,24.161089748467926,24.208235230728214,2,Calm market
2018-03-01,7.184694835900352,53.037277078633615,13.181984621017946,21.412558361095826,23.75652718907455,5.75496418522266,20.099485568112726,2,Calm market
2018-04-01,7.184694835900352,53.037277078633615,13.181984621017946,21.412558361095826,14.580967468031762,4.910197718326269,17.13562603507579,2,Calm market
2018-05-01,6.563387792099576,55.453289994183585,24.203588429146834,22.28699853853697,13.445378114857728,3.196631028781543,16.692142103053854,2,Calm market
2018-06-01,5.227720813931306,63.63322608264523,19.992676675210546,19.887893025118366,14.944355714493089,1.2791665782205588,17.38241573659795,2,Calm market
2018-07-01,5.227720813931306,63.63322608264523,19.992676675210546,19.887893025118366,7.540312611966847,1.678277775459326,15.260980605149767,2,Calm market
2018-08-01,3.8318372458135244,58.628626019543866,23.068473086781395,13.116591970201739,7.608447366687141,2.110489236698295,13.682477068295174,2,Calm market
2018-09-01,3.5909775682093255,62.597789468126656,21.677041376785056,16.210762438513,5.927775643821125,3.3806884625794504,14.352444986503363,2,Calm market
2018-10-01,4.160280438311823,53.462950236415104,20.432076162577815,13.441707222323764,26.618212878904675,9.357852856770782,20.520596423221104,2,Calm market
2018-11-01,4.37650286716233,36.91900531551631,22.66569022336141,15.997757368697258,19.441288513399154,4.894933003096022,15.06904691242339,2,Calm market
2018-12-01,5.966717997052484,30.568337653540787,20.8348590259978,12.645742034213917,36.13445287144336,11.683678884455592,20.804424033409912,2,Calm market
2019-01-01,7.0998443382940835,40.20938790304752,22.775540095203226,16.255607580577056,16.034520453877054,4.045873951757184,14.898762435276062,2,Calm market
2019-02-01,6.910992175485099,44.155545550192166,13.40168436470158,19.865473126940195,11.969110656152612,4.267324233997739,14.649641835665083,2,Calm market
2019-03-01,6.369059571424131,47.514954319527924,14.170633467594286,19.551573169614976,9.538950133468916,4.901329521895718,14.443229799690116,2,Calm market
2019-04-01,6.089884194239346,51.852276422296804,8.421823507872574,18.778027879683314,8.198954350169188,4.265036428003688,14.3995665022124,2,Calm market
2019-05-01,6.719400313194427,39.87574672850876,20.798242402050533,13.04932692995952,20.894841499244446,4.46692941057155,16.015359567327373,2,Calm market
2019-06-01,9.563168282031349,45.593649521054054,24.459904796777735,14.383407094299407,12.650464701249991,1.8999119293366857,14.460139186703486,2,Calm market
2019-07-01,10.012041313331743,45.720203372689106,18.49139509337239,13.318387090928397,15.012492635178187,2.3188634537938038,15.27574113166446,2,Calm market
2019-08-01,12.557476055193582,41.71651805571396,13.218601244965214,10.515696681764183,21.508060789621528,4.418663587249956,17.377626721271177,2,Calm market
2019-09-01,12.557476055193582,41.71651805571396,13.218601244965214,10.515696681764183,15.285031654059377,2.5316294112406124,15.038959436600194,2,Calm market
